CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
SFRSQS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFRCPD,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFRCPS32,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFADDD,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFADDS32,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFSUBD,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFSUBS32,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFSRT8D,SMAC1/SMAC2,7,R,R,R,R:2,1,2,不可流水,,,,
SFSRT8S32,SMAC1/SMAC2,4,R,R,R,R:2,1,2,不可流水,,,,
SFNORMD,SMAC1/SMAC2,2,R,R,R,R,1,1,,,,,
SFNORMS32,SMAC1/SMAC2,2,R,R,R,R,1,1,,,,,
SSUBC,SIEU,1,R,R,,R,1,1,,,,,
SSUBC32,SIEU,1,R,R,,R,1,1,,,,,
SSAT,SIEU,1,R,,,R,1,1,,,,,
SSAT32,SIEU,1,R,,,R,1,1,,,,,
SNEG,SIEU,1,R,,,R,1,1,,,,,
SNEG32,SIEU,1,R,,,R,1,1,,,,,
SABS,SIEU,1,R,,,R,1,1,,,,,
SABS32,SIEU,1,R,,,R,1,1,,,,,
SMAX,SIEU,1,R,R,,R,1,1,,,,,
SMAXU,SIEU,1,R,R,,R,1,1,,,,,
SMAX32,SIEU,1,R,R,,R,1,1,,,,,
SMAXU32,SIEU,1,R,R,,R,1,1,,,,,
SMIN,SIEU,1,R,R,,R,1,1,,,,,
SMINU,SIEU,1,R,R,,R,1,1,,,,,
SMIN32,SIEU,1,R,R,,R,1,1,,,,,
SMINU32,SIEU,1,R,R,,R,1,1,,,,,
SEQ,SIEU,1,R/IMM,R,,R,1,1,,,,,
SLT,SIEU,1,R/IMM,R,,R,1,1,,,,,
SLTU,SIEU,1,R/IMM,R,,R,1,1,,,,,
SEQ32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SLT32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SLTU32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SMVCGC,SIEU,-1,R,,,CR,1,6,,,,,
SMVCGC,SIEU,1,R,,,/CGCR/SST/SCR/SFCR/SECR/,1,1,,,,,
SMVCGC,SIEU,2,R,,,/IER/IRR/ISTP/EER/ERR/ESTP/,1,2,,,,,
SMVCGC,SIEU,3,R,,,/SVR/VCR/ICR/ECR/,1,3,,,,,
SMVCGC,SIEU,5,R,,,/VLR/,1,5,,,,,
SMVCGC,SIEU,6,R,,,/CVCCR/,1,6,,,,,
SMVCCG,SIEU,-1,CR,,,R,1,3,,,,,
SMVCCG,SIEU,1,/CGCR/CVCCR/SST/SCR/SFCR/SECR/,,,R,1,1,,,,,
SMVCCG,SIEU,2,/SVR/IER/IFR/IRR/ISTP/EER/EFR/ERR/ESTP/,,,R,1,2,,,,,
SMVCCG,SIEU,3,/VCR/VLR/,,,R,1,3,,,,,
SMOVI24,SIEU,1,IMM,,,R,1,1,,,,,
SAND,SIEU,1,R/IMM,R,,R,1,1,,,,,
SOR,SIEU,1,R/IMM,R,,R,1,1,,,,,
SXOR,SIEU,1,R/IMM,R,,R,1,1,,,,,
SNOT,SIEU,1,R/IMM,,,R,1,1,,,,,
SLZD,SIEU,1,R,,,R,1,1,,,,,
SLZD32,SIEU,1,R,,,R,1,1,,,,,
SSHFLL32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SSHFLL,SIEU,1,R/IMM,R,,R,1,1,,,,,
SSHFLR32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SSHFLR,SIEU,1,R/IMM,R,,R,1,1,,,,,
SSHFAR32,SIEU,1,R/IMM,R,,R,1,1,,,,,
SSHFAR,SIEU,1,R/IMM,R,,R,1,1,,,,,
SBCLR32,SIEU,1,R,R,,R,1,1,,,,,
SBCLR,SIEU,1,R,R,,R,1,1,,,,,
SBSET32,SIEU,1,R,R,,R,1,1,,,,,
SBSET,SIEU,1,R,R,,R,1,1,,,,,
SBEX32,SIEU,1,R,R,,R,1,1,,,,,
SBEX,SIEU,1,R,R,,R,1,1,,,,,
SBTST32,SIEU,1,R,R,,R,1,1,,,,,
SBTST,SIEU,1,R,R,,R,1,1,,,,,
SBEXT32,SIEU,1,R,R,,R,1,1,,,,,
SBEXT,SIEU,1,R,R,,R,1,1,,,,,
SBEXT32U,SIEU,1,R,R,,R,1,1,,,,,
SBEXTU,SIEU,1,R,R,,R,1,1,,,,,
SBALE2,SIEU,1,R,R,,R,1,1,,,,,
SBALE2H,SIEU,1,R,R,,R,1,1,,,,,
SBALE2LH,SIEU,1,R,R,,R,1,1,,,,,
SBALE2HL,SIEU,1,R,R,,R,1,1,,,,,
SBALE4H,SIEU,1,R,R,,R,1,1,,,,,
SBALE4L,SIEU,1,R,R,,R,1,1,,,,,
SSBALE2,SIEU,1,R,R,,R,1,1,,,,,
SSBALE4,SIEU,1,R,R,,R,1,1,,,,,
SUBALE4H,SIEU,1,R,,,R,1,1,,,,,
SUBALE4L,SIEU,1,R,,,R,1,1,,,,,
SITL2,SIEU,1,R,,,R,1,1,,,,,
SITL4,SIEU,1,R,,,R,1,1,,,,,
VLDH,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,
VLDHU,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,
VLDW,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,
VLDDW,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VLDDWM2,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VLDDW0M2,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VLDDW1M2,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VLDDW0M4,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VLDDW1M4,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,
VSTH,VLDST1/VLDST2,1,VR,,,AR+OR/IMM,1,1,,,,,
VSTW,VLDST1/VLDST2,1,VR,,,AR+OR/IMM,1,1,,,,,
VSTDW,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VSTDWM16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VSTDW0M16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VSTDW1M16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VSTDW0M32,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VSTDW1M32,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,
VFMULD,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,
VFMULS32,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,
VFMULAD,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
VFMULAS32,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
