CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
SFADDH,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,,,,,,
SFADDS32,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,,,,,,
SFSUBH,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,,,,,,
SFSUBS32,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,,,,,,
SFMFRCPS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFSQS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFRSQS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFSINS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFCOSS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFLOGS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SFMFEXPS32,SMAC1/SMAC2,7,R,,,R,1,1,,,,,,,,,,
SADD,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDU,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDA,SMAC1/SMAC2,-1,R:2/IMM,AR/OR,,AR/OR,2,2,,,,,,,,,,
SADDA,SMAC1/SMAC2,2,R:2/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,2,2,,,,,,,,,,
SADDA,SMAC1/SMAC2,3,R:2/IMM,/V_AR/V_OR/,,/V_AR/V_OR/,2,2,,,,,,,,,,
SADD16,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDU16,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUB,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBU,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBC.L,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SSUBA,SMAC1/SMAC2,-1,R:2/IMM,AR/OR,,AR/OR,2,2,,,,,,,,,,
SSUBA,SMAC1/SMAC2,2,R:2/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,2,2,,,,,,,,,,
SSUBA,SMAC1/SMAC2,3,R:2/IMM,/V_AR/V_OR/,,/V_AR/V_OR/,2,2,,,,,,,,,,
SSUB16,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBU16,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBC16.L,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SADD.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDU.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDA.L,SIEU,-1,R:2/IMM,AR/OR,,AR/OR,2,2,,,,,,,,,,
SADDA.L,SIEU,2,R:2/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,2,2,,,,,,,,,,
SADDA.L,SIEU,3,R:2/IMM,/V_AR/V_OR/,,/V_AR/V_OR/,2,2,,,,,,,,,,
SADD16.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SADDU16.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUB.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBU.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBA.L,SIEU,-1,R:2/IMM,AR/OR,,AR/OR,2,2,,,,,,,,,,
SSUBA.L,SIEU,2,R:2/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,2,2,,,,,,,,,,
SSUBA.L,SIEU,3,R:2/IMM,/V_AR/V_OR/,,/V_AR/V_OR/,2,2,,,,,,,,,,
SSUB16.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSUBU16.L,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSAT,SIEU,1,R,,,R,1,1,,,,,,,,,,
SSAT16,SIEU,1,R,,,R,1,1,,,,,,,,,,
SNEG,SIEU,1,R,,,R,1,1,,,,,,,,,,
SNEG16,SIEU,1,R,,,R,1,1,,,,,,,,,,
SABS,SIEU,1,R,,,R,1,1,,,,,,,,,,
SABS16,SIEU,1,R,,,R,1,1,,,,,,,,,,
SMAX,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMAXU,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMAX16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMAXU16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMIN,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMINU,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMIN16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SMINU16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SEQ,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SLT,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SLTU,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SEQ16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
